pairs,Ks
ONH92574-ONI11936,4.545
ONH92574-ONI08378,2.3941
ONH92574-ONI30925,4.5066
ONH92574-ONI04516,3.0273
ONH92574-ONI17179,2.0093
ONH92574-ONI23179,3.7071
ONH92574-ONI26052,3.9878
ONH92574-ONH96625,3.0684
ONH92574-ONI08665,2.5753
ONH92574-ONH93475,4.5741
ONH92574-ONH96897,2.6579
ONH92574-ONI19087,4.5309
ONH92574-ONI32985,2.5768
ONH92574-ONH94185,4.2219
ONH92574-ONI02303,4.5114
ONH92574-ONH91625,2.8154
ONH92574-ONI09527,2.3827
ONH92574-ONI25428,4.5728
ONH92574-ONI09497,4.5801
ONH92574-ONI29838,4.529
ONH92574-ONI20969,1.9082
ONH92574-ONI21063,4.5469
ONH92574-ONI33045,2.213
ONH92574-ONI35496,2.8148
ONH92574-ONI26704,2.6209
ONH92574-ONI05188,3.541
ONH92574-ONI08999,4.5456
ONH92574-ONH94181,4.55
ONH92574-ONI02240,4.5323
ONH92574-ONI19233,4.5295
ONH92574-ONI00156,2.3962
ONH92574-ONI33936,5.1475
ONH92574-ONI02010,3.2797
ONH92574-ONI18543,2.0767
ONH92574-ONH89832,4.5442
ONH92574-ONI27715,4.0811
ONH92574-ONI16070,1.9177
ONH92574-ONI19226,4.5701
ONH92574-ONI24232,1.8416
ONH92574-ONI18885,4.5746
ONH92574-ONI05194,2.1676
ONH92574-ONI22888,4.5766
ONH92574-ONI04225,4.3066
ONH92574-ONI20060,1.6494
ONH92574-ONI29870,4.5622
ONH92574-ONI10744,4.3116
ONH92574-ONI26284,1.9795
ONH92574-ONH97838,4.5355
ONH92574-ONI24744,4.4612
ONH92574-ONI18127,3.3307
ONH92574-ONI10516,4.5779
ONH92574-ONH89643,3.1778
ONH92574-ONH96168,2.3878
ONH92574-ONI04721,4.4582
ONH92574-ONI09895,2.577
ONH92574-ONH89667,2.2638
ONH92574-ONI25090,2.9958
ONH92574-ONI30726,2.9292
ONH92574-ONI27137,2.312
ONH92574-ONI29728,1.8949
ONH92574-ONI35714,2.4651
ONH92574-ONH96536,3.7744
ONH92574-ONI34983,3.3321
ONH92574-ONI22333,6.9497
ONH92574-ONH96513,1.9288
ONH92574-ONI30433,4.5837
ONI01448-ONI25472,4.4976
ONI01448-ONI20524,4.5915
ONI01448-ONH98763,2.7945
ONI01448-ONH89632,2.7777
ONI01448-ONI35771,4.6029
ONI01448-ONI16883,4.6873
ONI01448-ONI03115,3.2816
ONI01448-ONI01193,2.356
ONI01448-ONH98211,4.6454
ONI01448-ONH96339,2.4617
ONI01448-ONH97837,4.6388
ONI01448-ONH96891,4.4147
ONI01448-ONI19701,4.6126
ONI01448-ONI19129,4.5985
ONI01448-ONI11923,2.5091
ONI01448-ONH92343,4.6006
ONI01448-ONI14197,4.5653
ONI01448-ONI08253,2.1702
ONI01448-ONH89725,4.4929
ONI01448-ONI22031,4.589
ONI01448-ONH92510,2.9595
ONI01448-ONI17874,4.6862
ONI01448-ONH96390,4.6927
ONI01448-ONI08659,4.4207
ONI01448-ONI07181,1.8864
ONI01448-ONI34876,1.9791
ONI01448-ONI11936,4.6547
ONI01448-ONI08378,3.2249
ONI01448-ONI30925,2.7519
ONI01448-ONI04516,2.2437
ONI01448-ONI17179,2.809
ONI01448-ONI23179,4.1305
ONI01448-ONI26052,2.9276
ONI01448-ONH96625,2.5967
ONI01448-ONI08665,4.6403
ONI01448-ONH93475,4.6797
ONI01448-ONH96897,4.532
ONI01448-ONI19087,4.5352
ONI01448-ONI32985,4.5752
ONI01448-ONH94185,2.3963
ONI01448-ONI02303,4.5755
ONI01448-ONH91625,3.8353
ONI01448-ONI09527,2.8377
ONI01448-ONI25428,2.8675
ONI01448-ONI09497,4.6738
ONI01448-ONI29838,4.4653
ONI01448-ONI20969,4.5686
ONI01448-ONI21063,2.8321
ONI01448-ONI33045,4.6372
ONI01448-ONI35496,2.5088
ONI01448-ONI26704,2.8029
ONI01448-ONI05188,4.5379
ONI01448-ONI08999,2.3379
ONI01448-ONH94181,3.353
ONI01448-ONI02240,4.6453
ONI01448-ONI19233,4.5107
ONI01448-ONI00156,4.3869
ONI01448-ONI33936,4.4608
ONI01448-ONI02010,4.6745
ONI01448-ONI18543,4.4496
ONI01448-ONH89832,4.6791
ONI01448-ONI27715,4.2344
ONI01448-ONI16070,4.6455
ONI01448-ONI19226,2.3675
ONI01448-ONI24232,2.7639
ONI01448-ONI18885,3.8982
ONI01448-ONI05194,3.4685
ONI01448-ONI22888,2.8723
ONI01448-ONI04225,4.4475
ONI01448-ONI20060,4.6657
ONI01448-ONI29870,4.6689
ONI01448-ONI10744,4.6782
ONI01448-ONI26284,2.429
ONI01448-ONH97838,4.686
ONI01448-ONI24744,4.677
ONI01448-ONI18127,2.7647
ONI01448-ONI10516,2.0106
ONI01448-ONH89643,4.4137
ONI01448-ONH96168,1.846
ONI01448-ONI04721,4.4971
ONI01448-ONI09895,3.0807
ONI01448-ONH89667,4.557
ONI01448-ONI25090,3.4098
ONI01448-ONI30726,4.4563
ONI01448-ONI27137,2.3198
ONI01448-ONI29728,4.4682
ONI01448-ONI35714,4.5458
ONI01448-ONH96536,4.3198
ONI01448-ONI34983,4.4743
ONI01448-ONI22333,2.4672
ONI01448-ONH96513,4.5962
ONI01448-ONI30433,3.347
ONI25472-ONI20524,4.551
ONI25472-ONH98763,2.0748
ONI25472-ONH89632,2.2838
ONI25472-ONI35771,4.5652
ONI25472-ONI16883,2.0877
ONI25472-ONI03115,2.178
ONI25472-ONI01193,2.3308
ONI25472-ONH98211,2.824
ONI25472-ONH96339,4.6108
ONI25472-ONH97837,4.4342
ONI25472-ONH96891,2.1637
ONI25472-ONI19701,2.3965
ONI25472-ONI19129,4.5733
ONI25472-ONI11923,2.4681
ONI25472-ONH92343,2.3998
ONI25472-ONI14197,2.6837
ONI25472-ONI08253,2.6899
ONI25472-ONH89725,4.4473
ONI25472-ONI22031,1.9275
ONI25472-ONH92510,2.6646
ONI25472-ONI17874,2.2012
ONI25472-ONH96390,2.0919
ONI25472-ONI08659,4.4008
ONI25472-ONI07181,4.3549
ONI25472-ONI34876,2.2076
ONI25472-ONI11936,4.5505
ONI25472-ONI08378,2.9677
ONI25472-ONI30925,4.5375
ONI25472-ONI04516,4.4769
ONI25472-ONI17179,3.429
ONI25472-ONI23179,4.8093
ONI25472-ONH96625,4.4886
ONI25472-ONI08665,4.531
ONI25472-ONH93475,4.5538
ONI25472-ONH96897,3.9524
ONI25472-ONI19087,1.8626
ONI25472-ONI32985,3.734
ONI25472-ONH94185,4.5784
ONI25472-ONI02303,4.5334
ONI25472-ONH91625,2.6653
ONI25472-ONI09527,2.0277
ONI25472-ONI25428,2.0132
ONI25472-ONI09497,2.2405
ONI25472-ONI29838,2.192
ONI25472-ONI20969,1.685
ONI25472-ONI21063,2.3079
ONI25472-ONI33045,2.144
ONI25472-ONI35496,2.4724
ONI25472-ONI26704,2.6171
ONI25472-ONI05188,2.1735
ONI25472-ONI08999,4.5824
ONI25472-ONH94181,3.112
ONI25472-ONI02240,4.5552
ONI25472-ONI19233,3.1594
ONI25472-ONI00156,4.422
ONI25472-ONI33936,3.4638
ONI25472-ONI02010,4.474
ONI25472-ONI18543,2.5143
ONI25472-ONH89832,2.738
ONI25472-ONI27715,2.4622
ONI25472-ONI16070,2.8351
ONI25472-ONI19226,2.4245
ONI25472-ONI24232,4.5803
ONI25472-ONI18885,2.3164
ONI25472-ONI05194,3.0498
ONI25472-ONI22888,4.5933
ONI25472-ONI04225,2.1732
ONI25472-ONI20060,4.6182
ONI25472-ONI29870,4.5898
ONI25472-ONI10744,2.5055
ONI25472-ONI26284,1.771
ONI25472-ONH97838,4.5828
ONI25472-ONI24744,2.5415
ONI25472-ONI18127,4.5692
ONI25472-ONI10516,4.5707
ONI25472-ONH89643,3.6613
ONI25472-ONH96168,3.127
ONI25472-ONI04721,3.0204
ONI25472-ONI09895,2.7185
ONI25472-ONH89667,2.3983
ONI25472-ONI25090,2.5098
ONI25472-ONI30726,2.6321
ONI25472-ONI27137,4.553
ONI25472-ONI29728,3.7005
ONI25472-ONI35714,4.4682
ONI25472-ONH96536,1.8304
ONI25472-ONI34983,4.4659
ONI25472-ONI22333,4.5785
ONI25472-ONH96513,2.248
ONI25472-ONI30433,4.6021
ONI20524-ONH98763,4.6921
ONI20524-ONH89632,4.6097
ONI20524-ONI35771,4.6586
ONI20524-ONI16883,4.5915
ONI20524-ONI03115,2.9881
ONI20524-ONI01193,4.6322
ONI20524-ONH98211,4.5793
ONI20524-ONH96339,4.6795
ONI20524-ONH97837,4.6763
ONI20524-ONH96891,4.2525
ONI20524-ONI19701,4.6148
ONI20524-ONI19129,4.6138
ONI20524-ONI11923,4.4386
ONI20524-ONH92343,4.662
ONI20524-ONI14197,4.5658
ONI20524-ONI08253,4.6575
ONI20524-ONH89725,4.4735
ONI20524-ONI22031,4.5354
ONI20524-ONH92510,4.6024
ONI20524-ONI17874,4.5618
ONI20524-ONH96390,4.5909
ONI20524-ONI08659,3.0229
ONI20524-ONI07181,5.6883
ONI20524-ONI34876,4.54
ONI20524-ONI11936,4.6358
ONI20524-ONI08378,4.6284
ONI20524-ONI30925,4.5802
ONI20524-ONI04516,4.4995
ONI20524-ONI17179,4.6235
ONI20524-ONI23179,4.64
ONI20524-ONI26052,2.4533
ONI20524-ONH96625,4.4921
ONI20524-ONI08665,4.6516
ONI20524-ONH93475,4.6557
ONI20524-ONH96897,3.4707
ONI20524-ONI19087,2.5886
ONI20524-ONI32985,3.2712
ONI20524-ONH94185,4.6852
ONI20524-ONI02303,4.5949
ONI20524-ONH91625,4.6465
ONI20524-ONI09527,4.4621
ONI20524-ONI25428,4.648
ONI20524-ONI09497,4.7128
ONI20524-ONI29838,4.5416
ONI20524-ONI20969,4.5778
ONI20524-ONI21063,4.6765
ONI20524-ONI33045,4.6013
ONI20524-ONI35496,2.6534
ONI20524-ONI26704,4.673
ONI20524-ONI05188,4.6104
ONI20524-ONI08999,4.6884
ONI20524-ONH94181,4.6404
ONI20524-ONI02240,4.6383
ONI20524-ONI19233,4.5684
ONI20524-ONI00156,4.4126
ONI20524-ONI33936,4.5862
ONI20524-ONI02010,4.6025
ONI20524-ONI18543,2.2191
ONI20524-ONH89832,3.467
ONI20524-ONI27715,4.6853
ONI20524-ONI16070,4.6513
ONI20524-ONI19226,4.6065
ONI20524-ONI24232,4.6303
ONI20524-ONI18885,4.696
ONI20524-ONI05194,4.5434
ONI20524-ONI22888,2.8401
ONI20524-ONI04225,4.4276
ONI20524-ONI20060,4.6859
ONI20524-ONI29870,4.6928
ONI20524-ONI10744,4.6793
ONI20524-ONI26284,4.6104
ONI20524-ONH97838,4.676
ONI20524-ONI24744,4.5955
ONI20524-ONI18127,4.639
ONI20524-ONI10516,4.6374
ONI20524-ONH89643,2.5847
ONI20524-ONH96168,3.0473
ONI20524-ONI04721,4.5064
ONI20524-ONI09895,4.8812
ONI20524-ONH89667,4.5253
ONI20524-ONI25090,4.3842
ONI20524-ONI30726,4.4638
ONI20524-ONI27137,4.6079
ONI20524-ONI29728,4.5846
ONI20524-ONI35714,4.5741
ONI20524-ONH96536,4.5417
ONI20524-ONI34983,4.4403
ONI20524-ONI22333,4.5355
ONI20524-ONH96513,4.552
ONI20524-ONI30433,4.6982
ONH98763-ONH89632,3.1834
ONH98763-ONI35771,4.6828
ONH98763-ONI16883,2.4739
ONH98763-ONI03115,4.5987
ONH98763-ONI01193,4.6678
ONH98763-ONH98211,4.6185
ONH98763-ONH96339,2.108
ONH98763-ONH97837,4.674
ONH98763-ONH96891,2.5474
ONH98763-ONI19701,2.6257
ONH98763-ONI19129,4.6959
ONH98763-ONI11923,2.2523
ONH98763-ONH92343,2.7358
ONH98763-ONI14197,2.4094
ONH98763-ONI08253,2.7769
ONH98763-ONH89725,2.8705
ONH98763-ONI22031,2.7741
ONH98763-ONH92510,3.7408
ONH98763-ONI17874,2.4505
ONH98763-ONH96390,4.6204
ONH98763-ONI08659,4.4292
ONH98763-ONI07181,2.4784
ONH98763-ONI34876,2.1443
ONH98763-ONI11936,4.6896
ONH98763-ONI08378,2.783
ONH98763-ONI30925,2.4477
ONH98763-ONI04516,4.5202
ONH98763-ONI17179,4.6587
ONH98763-ONI23179,2.2155
ONH98763-ONI26052,2.2
ONH98763-ONH96625,2.1175
ONH98763-ONI08665,4.7046
ONH98763-ONH93475,3.5631
ONH98763-ONH96897,3.4167
ONH98763-ONI19087,1.8219
ONH98763-ONI32985,1.9868
ONH98763-ONH94185,2.0552
ONH98763-ONI02303,2.4416
ONH98763-ONH91625,2.542
ONH98763-ONI09527,4.4472
ONH98763-ONI25428,4.715
ONH98763-ONI09497,2.7525
ONH98763-ONI29838,4.5773
ONH98763-ONI20969,2.4001
ONH98763-ONI21063,1.9966
ONH98763-ONI33045,2.0185
ONH98763-ONI35496,2.3683
ONH98763-ONI26704,2.1579
ONH98763-ONI05188,4.6248
ONH98763-ONI08999,2.404
ONH98763-ONH94181,4.6727
ONH98763-ONI02240,1.9257
ONH98763-ONI19233,2.51
ONH98763-ONI00156,2.9255
ONH98763-ONI33936,4.587
ONH98763-ONI02010,4.6816
ONH98763-ONI18543,4.5572
ONH98763-ONH89832,4.5978
ONH98763-ONI27715,4.6973
ONH98763-ONI16070,2.522
ONH98763-ONI19226,4.6316
ONH98763-ONI24232,3.1731
ONH98763-ONI18885,2.6954
ONH98763-ONI05194,2.2975
ONH98763-ONI22888,4.4874
ONH98763-ONI04225,2.337
ONH98763-ONI20060,4.7256
ONH98763-ONI29870,3.3148
ONH98763-ONI10744,4.6982
ONH98763-ONI26284,4.6315
ONH98763-ONH97838,4.7086
ONH98763-ONI24744,1.8227
ONH98763-ONI18127,4.6909
ONH98763-ONI10516,4.6839
ONH98763-ONH89643,3.1816
ONH98763-ONH96168,5.8258
ONH98763-ONI04721,4.5719
ONH98763-ONI09895,2.5982
ONH98763-ONH89667,4.4701
ONH98763-ONI25090,2.9296
ONH98763-ONI30726,4.5179
ONH98763-ONI27137,2.8051
ONH98763-ONI29728,4.5723
ONH98763-ONI35714,4.5761
ONH98763-ONH96536,2.2473
ONH98763-ONI34983,4.4993
ONH98763-ONI22333,1.9272
ONH98763-ONH96513,2.1681
ONH98763-ONI30433,4.702
ONH89632-ONI35771,4.6426
ONH89632-ONI16883,4.3358
ONH89632-ONI03115,4.5306
ONH89632-ONI01193,4.6344
ONH89632-ONH98211,4.6185
ONH89632-ONH96339,2.4904
ONH89632-ONH97837,4.5989
ONH89632-ONH96891,2.8052
ONH89632-ONI19701,2.905
ONH89632-ONI19129,3.5029
ONH89632-ONI11923,2.2921
ONH89632-ONH92343,4.6241
ONH89632-ONI14197,2.0131
ONH89632-ONI08253,4.6458
ONH89632-ONH89725,4.519
ONH89632-ONI22031,2.5647
ONH89632-ONH92510,2.3007
ONH89632-ONI17874,2.2954
ONH89632-ONH96390,4.5837
ONH89632-ONI08659,4.4454
ONH89632-ONI07181,3.8925
ONH89632-ONI34876,4.4044
ONH89632-ONI11936,4.6175
ONH89632-ONI08378,3.9999
ONH89632-ONI30925,4.5932
ONH89632-ONI04516,2.8462
ONH89632-ONI17179,4.5811
ONH89632-ONI23179,4.5366
ONH89632-ONI26052,2.1744
ONH89632-ONH96625,2.4568
ONH89632-ONI08665,4.615
ONH89632-ONH93475,3.411
ONH89632-ONH96897,2.0458
ONH89632-ONI19087,4.5376
ONH89632-ONI32985,4.5759
ONH89632-ONH94185,3.5491
ONH89632-ONI02303,2.4375
ONH89632-ONH91625,2.2848
ONH89632-ONI09527,2.212
ONH89632-ONI25428,3.6345
ONH89632-ONI09497,2.7964
ONH89632-ONI29838,6.2304
ONH89632-ONI20969,1.9708
ONH89632-ONI21063,4.618
ONH89632-ONI33045,2.3685
ONH89632-ONI35496,4.8922
ONH89632-ONI26704,1.7343
ONH89632-ONI05188,4.6091
ONH89632-ONI08999,3.8282
ONH89632-ONH94181,4.6245
ONH89632-ONI02240,4.663
ONH89632-ONI19233,4.5868
ONH89632-ONI00156,4.4424
ONH89632-ONI33936,2.3308
ONH89632-ONI02010,2.2467
ONH89632-ONI18543,4.5649
ONH89632-ONH89832,4.5425
ONH89632-ONI27715,3.4673
ONH89632-ONI16070,4.6066
ONH89632-ONI19226,2.1252
ONH89632-ONI24232,4.8001
ONH89632-ONI18885,2.4694
ONH89632-ONI05194,3.2477
ONH89632-ONI22888,4.6275
ONH89632-ONI04225,4.4936
ONH89632-ONI20060,2.5139
ONH89632-ONI29870,2.7961
ONH89632-ONI10744,4.6328
ONH89632-ONI26284,4.6419
ONH89632-ONH97838,4.6461
ONH89632-ONI24744,4.5553
ONH89632-ONI18127,4.6686
ONH89632-ONI10516,4.671
ONH89632-ONH89643,1.8099
ONH89632-ONH96168,4.5576
ONH89632-ONI04721,4.5946
ONH89632-ONI09895,2.6036
ONH89632-ONH89667,1.9572
ONH89632-ONI25090,2.5511
ONH89632-ONI30726,1.8372
ONH89632-ONI27137,3.0497
ONH89632-ONI29728,4.5769
ONH89632-ONI35714,3.3008
ONH89632-ONH96536,4.4644
ONH89632-ONI34983,3.3976
ONH89632-ONI22333,4.5719
ONH89632-ONH96513,2.4885
ONH89632-ONI30433,4.6507
ONI35771-ONI16883,2.8611
ONI35771-ONI03115,4.5746
ONI35771-ONI01193,3.0072
ONI35771-ONH98211,4.5825
ONI35771-ONH96339,4.6613
ONI35771-ONH97837,4.569
ONI35771-ONH96891,2.4027
ONI35771-ONI19701,2.3363
ONI35771-ONI19129,3.0643
ONI35771-ONI11923,2.191
ONI35771-ONH92343,3.8058
ONI35771-ONI14197,4.5599
ONI35771-ONI08253,4.7125
ONI35771-ONH89725,1.6871
ONI35771-ONI22031,2.2164
ONI35771-ONH92510,2.5062
ONI35771-ONI17874,4.5711
ONI35771-ONH96390,4.5941
ONI35771-ONI08659,2.1795
ONI35771-ONI07181,3.7652
ONI35771-ONI34876,3.2159
ONI35771-ONI11936,4.6463
ONI35771-ONI08378,3.0407
ONI35771-ONI30925,4.5929
ONI35771-ONI04516,4.4953
ONI35771-ONI17179,4.6387
ONI35771-ONI23179,4.6569
ONI35771-ONI26052,4.5239
ONI35771-ONH96625,4.6794
ONI35771-ONI08665,4.6641
ONI35771-ONH93475,4.6509
ONI35771-ONH96897,4.5302
ONI35771-ONI19087,3.0649
ONI35771-ONI32985,4.6003
ONI35771-ONH94185,4.7165
ONI35771-ONI02303,3.0904
ONI35771-ONH91625,4.6544
ONI35771-ONI09527,2.12
ONI35771-ONI25428,1.759
ONI35771-ONI09497,4.698
ONI35771-ONI29838,3.5975
ONI35771-ONI20969,3.9509
ONI35771-ONI21063,2.7985
ONI35771-ONI33045,3.126
ONI35771-ONI35496,4.6413
ONI35771-ONI26704,2.2272
ONI35771-ONI05188,3.3045
ONI35771-ONI08999,4.6714
ONI35771-ONH94181,4.6619
ONI35771-ONI02240,2.6687
ONI35771-ONI19233,4.5559
ONI35771-ONI00156,4.4009
ONI35771-ONI33936,5.143
ONI35771-ONI02010,3.2885
ONI35771-ONI18543,4.5505
ONI35771-ONH89832,2.0037
ONI35771-ONI27715,3.4589
ONI35771-ONI16070,4.6578
ONI35771-ONI19226,2.0884
ONI35771-ONI24232,4.6286
ONI35771-ONI18885,3.098
ONI35771-ONI05194,2.207
ONI35771-ONI22888,3.2813
ONI35771-ONI04225,4.4554
ONI35771-ONI20060,6.0932
ONI35771-ONI29870,4.6921
ONI35771-ONI10744,3.3493
ONI35771-ONI26284,2.4825
ONI35771-ONH97838,2.7967
ONI35771-ONI24744,2.6034
ONI35771-ONI18127,4.672
ONI35771-ONI10516,4.7009
ONI35771-ONH89643,2.6588
ONI35771-ONH96168,2.3438
ONI35771-ONI04721,2.8251
ONI35771-ONI09895,2.6499
ONI35771-ONH89667,4.4942
ONI35771-ONI25090,4.3803
ONI35771-ONI30726,4.477
ONI35771-ONI27137,2.1461
ONI35771-ONI29728,3.0848
ONI35771-ONI35714,4.5463
ONI35771-ONH96536,2.0776
ONI35771-ONI34983,4.4857
ONI35771-ONI22333,3.4025
ONI35771-ONH96513,4.6008
ONI35771-ONI30433,2.2637
ONI16883-ONI03115,4.6401
ONI16883-ONI01193,4.6736
ONI16883-ONH98211,4.684
ONI16883-ONH96339,3.041
ONI16883-ONH97837,4.6726
ONI16883-ONH96891,2.0381
ONI16883-ONI19701,4.5923
ONI16883-ONI19129,2.8957
ONI16883-ONI11923,4.4475
ONI16883-ONH92343,2.6022
ONI16883-ONI14197,3.0016
ONI16883-ONI08253,3.5887
ONI16883-ONH89725,2.8529
ONI16883-ONI22031,3.536
ONI16883-ONH92510,2.8585
ONI16883-ONI17874,4.7012
ONI16883-ONH96390,2.5789
ONI16883-ONI08659,2.5211
ONI16883-ONI07181,4.6891
ONI16883-ONI34876,4.5812
ONI16883-ONI11936,4.7044
ONI16883-ONI08378,1.8966
ONI16883-ONI30925,1.8113
ONI16883-ONI04516,4.5379
ONI16883-ONI17179,2.865
ONI16883-ONI23179,4.8132
ONI16883-ONI26052,4.5201
ONI16883-ONH96625,2.3514
ONI16883-ONI08665,5.0402
ONI16883-ONH93475,4.723
ONI16883-ONH96897,2.3547
ONI16883-ONI19087,1.8925
ONI16883-ONI32985,2.5771
ONI16883-ONH94185,2.6662
ONI16883-ONI02303,2.9839
ONI16883-ONH91625,2.2316
ONI16883-ONI09527,4.7181
ONI16883-ONI25428,2.6995
ONI16883-ONI09497,3.0977
ONI16883-ONI29838,4.5353
ONI16883-ONI20969,4.5573
ONI16883-ONI21063,3.0624
ONI16883-ONI33045,4.6219
ONI16883-ONI35496,2.0034
ONI16883-ONI26704,2.2226
ONI16883-ONI05188,4.5344
ONI16883-ONI08999,2.2659
ONI16883-ONH94181,4.7631
ONI16883-ONI02240,1.9234
ONI16883-ONI19233,4.5781
ONI16883-ONI00156,4.456
ONI16883-ONI33936,4.5688
ONI16883-ONI02010,3.9721
ONI16883-ONI18543,4.415
ONI16883-ONH89832,4.7192
ONI16883-ONI27715,4.7034
ONI16883-ONI16070,4.8774
ONI16883-ONI19226,4.6033
ONI16883-ONI24232,2.5842
ONI16883-ONI18885,2.8576
ONI16883-ONI05194,4.5214
ONI16883-ONI22888,2.9315
ONI16883-ONI04225,4.4789
ONI16883-ONI20060,1.8249
ONI16883-ONI29870,2.2355
ONI16883-ONI10744,4.6666
ONI16883-ONI26284,3.1574
ONI16883-ONH97838,2.3807
ONI16883-ONI24744,4.6498
ONI16883-ONI18127,4.7225
ONI16883-ONI10516,2.6366
ONI16883-ONH89643,4.4083
ONI16883-ONH96168,4.4419
ONI16883-ONI04721,1.9476
ONI16883-ONI09895,2.0119
ONI16883-ONH89667,4.5651
ONI16883-ONI25090,2.7339
ONI16883-ONI30726,4.5089
ONI16883-ONI27137,2.2061
ONI16883-ONI29728,3.1168
ONI16883-ONI35714,2.6435
ONI16883-ONH96536,2.8035
ONI16883-ONI34983,2.6135
ONI16883-ONI22333,3.2377
ONI16883-ONH96513,4.576
ONI16883-ONI30433,3.2222
ONI03115-ONI01193,4.5969
ONI03115-ONH98211,4.6322
ONI03115-ONH96339,4.6514
ONI03115-ONH97837,4.5969
ONI03115-ONH96891,4.3758
ONI03115-ONI19701,4.5684
ONI03115-ONI19129,4.6167
ONI03115-ONI11923,3.376
ONI03115-ONH92343,4.5799
ONI03115-ONI14197,2.6644
ONI03115-ONI08253,2.8201
ONI03115-ONH89725,2.8473
ONI03115-ONI22031,4.5703
ONI03115-ONH92510,4.6122
ONI03115-ONI17874,4.6074
ONI03115-ONH96390,4.6117
ONI03115-ONI08659,2.603
ONI03115-ONI07181,2.3002
ONI03115-ONI34876,3.5181
ONI03115-ONI11936,4.5837
ONI03115-ONI08378,4.6328
ONI03115-ONI30925,3.1698
ONI03115-ONI04516,2.8069
ONI03115-ONI17179,4.6213
ONI03115-ONI23179,4.653
ONI03115-ONI26052,3.3642
ONI03115-ONH96625,4.4909
ONI03115-ONI08665,4.5877
ONI03115-ONH93475,4.6098
ONI03115-ONH96897,4.5099
ONI03115-ONI19087,4.5438
ONI03115-ONI32985,4.5408
ONI03115-ONH94185,3.0643
ONI03115-ONI02303,3.4496
ONI03115-ONH91625,4.6209
ONI03115-ONI09527,4.4849
ONI03115-ONI25428,2.7381
ONI03115-ONI09497,4.6487
ONI03115-ONI29838,4.4296
ONI03115-ONI20969,2.5709
ONI03115-ONI21063,4.6208
ONI03115-ONI33045,6.5753
ONI03115-ONI35496,2.3186
ONI03115-ONI26704,3.2416
ONI03115-ONI05188,4.5405
ONI03115-ONI08999,4.6439
ONI03115-ONH94181,4.6181
ONI03115-ONI02240,4.6098
ONI03115-ONI19233,4.4549
ONI03115-ONI00156,4.4108
ONI03115-ONI33936,4.4716
ONI03115-ONI02010,2.4959
ONI03115-ONI18543,4.4592
ONI03115-ONH89832,4.6182
ONI03115-ONI27715,4.6238
ONI03115-ONI16070,4.601
ONI03115-ONI19226,1.6633
ONI03115-ONI24232,4.5762
ONI03115-ONI18885,4.6239
ONI03115-ONI05194,4.4147
ONI03115-ONI22888,2.2923
ONI03115-ONI04225,4.4292
ONI03115-ONI20060,2.4436
ONI03115-ONI29870,4.6416
ONI03115-ONI10744,4.6076
ONI03115-ONI26284,2.9789
ONI03115-ONH97838,4.6325
ONI03115-ONI24744,4.6218
ONI03115-ONI18127,4.5988
ONI03115-ONI10516,4.6038
ONI03115-ONH89643,4.4033
ONI03115-ONH96168,4.4338
ONI03115-ONI04721,3.1591
ONI03115-ONI09895,2.4085
ONI03115-ONH89667,4.5287
ONI03115-ONI25090,4.3601
ONI03115-ONI30726,4.4759
ONI03115-ONI27137,3.2818
ONI03115-ONI29728,2.8703
ONI03115-ONI35714,4.5367
ONI03115-ONH96536,4.4887
ONI03115-ONI34983,4.4504
ONI03115-ONI22333,2.328
ONI03115-ONH96513,4.57
ONI03115-ONI30433,4.5835
ONI01193-ONH98211,4.6169
ONI01193-ONH96339,3.7028
ONI01193-ONH97837,4.6599
ONI01193-ONH96891,1.9738
ONI01193-ONI19701,2.8584
ONI01193-ONI19129,1.9994
ONI01193-ONI11923,4.4422
ONI01193-ONH92343,3.1812
ONI01193-ONI14197,4.5422
ONI01193-ONI08253,4.7187
ONI01193-ONH89725,4.4783
ONI01193-ONI22031,2.335
ONI01193-ONH92510,4.6344
ONI01193-ONI17874,4.6593
ONI01193-ONH96390,4.6774
ONI01193-ONI08659,3.9056
ONI01193-ONI07181,2.7225
ONI01193-ONI34876,2.2577
ONI01193-ONI11936,2.9476
ONI01193-ONI08378,3.2929
ONI01193-ONI30925,2.6795
ONI01193-ONI04516,4.5145
ONI01193-ONI17179,4.7052
ONI01193-ONI23179,4.1736
ONI01193-ONI26052,1.8264
ONI01193-ONH96625,4.5142
ONI01193-ONI08665,4.6789
ONI01193-ONH93475,4.7271
ONI01193-ONH96897,4.5349
ONI01193-ONI19087,3.8061
ONI01193-ONI32985,2.5512
ONI01193-ONH94185,4.7131
ONI01193-ONI02303,2.7539
ONI01193-ONH91625,4.6619
ONI01193-ONI09527,2.0509
ONI01193-ONI25428,4.6847
ONI01193-ONI09497,4.7109
ONI01193-ONI29838,4.5531
ONI01193-ONI20969,4.5566
ONI01193-ONI21063,3.3225
ONI01193-ONI33045,4.6042
ONI01193-ONI35496,4.6287
ONI01193-ONI26704,2.8429
ONI01193-ONI05188,3.2555
ONI01193-ONI08999,4.7529
ONI01193-ONH94181,4.7321
ONI01193-ONI02240,4.6514
ONI01193-ONI19233,4.5507
ONI01193-ONI00156,3.0945
ONI01193-ONI33936,3.4451
ONI01193-ONI02010,3.1784
ONI01193-ONI18543,3.2697
ONI01193-ONH89832,4.6434
ONI01193-ONI27715,4.7478
ONI01193-ONI16070,3.0604
